year,month,day,Carbon intensity gCO₂eq/kWh (Life cycle),prediction,hour,date
2023,10,21,647.83,655.4299546693574,0,2023-10-21
2023,10,22,649.49,650.3633182231191,0,2023-10-22
2023,10,23,655.79,649.781106074373,0,2023-10-23
2023,10,24,652.47,653.7870353581243,0,2023-10-24
2023,10,25,662.6,652.9090117860414,0,2023-10-25
2023,10,26,669.52,659.3696705953472,0,2023-10-26
2023,10,27,670.88,666.1365568651157,0,2023-10-27
2023,10,28,668.2,669.2988522883719,0,2023-10-28
2023,10,29,669.62,668.566284096124,0,2023-10-29
2023,10,30,673.25,669.2687613653746,0,2023-10-30
2023,10,31,675.97,671.9229204551249,0,2023-10-31
2023,11,1,682.84,674.6209734850416,0,2023-11-01
2023,11,2,687.48,680.1003244950139,0,2023-11-02
2023,11,3,688.48,685.0201081650047,0,2023-11-03
2023,11,4,685.74,687.3267027216683,0,2023-11-04
2023,11,5,677.41,686.2689009072228,0,2023-11-05
2023,11,6,677.23,680.3629669690743,0,2023-11-06
2023,11,7,679.44,678.2743223230248,0,2023-11-07
2023,11,8,680.62,679.0514407743416,0,2023-11-08
2023,11,9,683.77,680.0971469247805,0,2023-11-09
2023,11,10,671.15,682.5457156415936,0,2023-11-10
2023,11,11,658.4,674.9485718805312,0,2023-11-11
2023,11,12,645.33,663.9161906268437,0,2023-11-12
2023,11,13,633.92,651.5253968756145,0,2023-11-13
2023,11,14,654.99,639.7884656252048,0,2023-11-14
2023,11,15,663.53,649.9228218750683,0,2023-11-15
2023,11,16,672.31,658.9942739583561,0,2023-11-16
2023,11,17,673.57,667.8714246527853,0,2023-11-17
2023,11,18,677.43,671.6704748842618,0,2023-11-18
2023,11,19,669.36,675.510158294754,0,2023-11-19
2023,11,20,671.93,671.410052764918,0,2023-11-20
2023,11,21,681.47,671.7566842549726,0,2023-11-21
2023,11,22,685.95,678.2322280849909,0,2023-11-22
2023,11,23,686.94,683.3774093616636,0,2023-11-23
2023,11,24,685.11,685.7524697872212,0,2023-11-24
2023,11,25,684.83,685.3241565957404,0,2023-11-25
2023,11,26,684.94,684.9947188652468,0,2023-11-26
2023,11,27,672.69,684.9582396217489,0,2023-11-27
2023,11,28,676.97,676.7794132072496,0,2023-11-28
2023,11,29,682.24,676.9064710690832,0,2023-11-29
2023,11,30,677.13,680.4621570230278,0,2023-11-30
2023,12,1,682.82,678.2407190076759,0,2023-12-01
2023,12,2,682.4,681.2935730025587,0,2023-12-02
2023,12,3,672.5,682.0311910008528,0,2023-12-03
2023,12,4,671.41,675.6770636669509,0,2023-12-04
2023,12,5,672.6,672.8323545556503,0,2023-12-05
2023,12,6,663.66,672.6774515185501,0,2023-12-06
2023,12,7,676.66,666.66581717285,0,2023-12-07
2023,12,8,681.45,673.3286057242833,0,2023-12-08
2023,12,9,683.95,678.7428685747611,0,2023-12-09
2023,12,10,684.59,682.2142895249204,0,2023-12-10
2023,12,11,685.54,683.7980965083069,0,2023-12-11
2023,12,12,688.07,684.959365502769,0,2023-12-12
2023,12,13,688.8,687.0331218342563,0,2023-12-13
2023,12,14,692.79,688.2110406114188,0,2023-12-14
2023,12,15,694.06,691.2636802038063,0,2023-12-15
2023,12,16,693.21,693.1278934012688,0,2023-12-16
2023,12,17,685.09,693.1826311337563,0,2023-12-17
2023,12,18,677.23,687.7875437112522,0,2023-12-18
2023,12,19,681.45,680.749181237084,0,2023-12-19
2023,12,20,679.73,681.2163937456947,0,2023-12-20
2023,12,21,676.72,680.2254645818983,0,2023-12-21
2023,12,22,690.41,677.8884881939662,0,2023-12-22
2023,12,23,687.94,686.2361627313221,0,2023-12-23
2023,12,24,685.46,687.3720542437741,0,2023-12-24
2023,12,25,682.79,686.0973514145913,0,2023-12-25
2023,12,26,691.6,683.8924504715304,0,2023-12-26
2023,12,27,687.38,689.0308168238435,0,2023-12-27
2023,12,28,695.09,687.9302722746146,0,2023-12-28
2023,12,29,695.79,692.7034240915382,0,2023-12-29
2023,12,30,696.79,694.761141363846,0,2023-12-30
2023,12,31,691.96,696.1137137879487,0,2023-12-31
2024,1,1,692.66,693.3445712626495,0,2024-01-01
2024,1,2,695.02,692.8881904208832,0,2024-01-02
2024,1,3,697.61,694.3093968069611,0,2024-01-03
2024,1,4,695.29,696.5097989356536,0,2024-01-04
2024,1,5,708.71,695.6965996452178,0,2024-01-05
2024,1,6,711.38,704.3721998817392,0,2024-01-06
2024,1,7,711.18,709.0440666272465,0,2024-01-07
2024,1,8,699.78,710.468022209082,0,2024-01-08
2024,1,9,703.09,703.342674069694,0,2024-01-09
2024,1,10,688.65,703.174224689898,0,2024-01-10
2024,1,11,703.39,693.4914082299659,0,2024-01-11
2024,1,12,707.48,700.0904694099886,0,2024-01-12
2024,1,13,713.71,705.0168231366629,0,2024-01-13
2024,1,14,704.97,710.8122743788877,0,2024-01-14
2024,1,15,699.92,706.9174247929626,0,2024-01-15
2024,1,16,703.49,702.2524749309874,0,2024-01-16
2024,1,17,706.06,703.0774916436625,0,2024-01-17
2024,1,18,707.53,705.0658305478875,0,2024-01-18
2024,1,19,707.33,706.7086101826291,0,2024-01-19
2024,1,20,708.17,707.1228700608764,0,2024-01-20
2024,1,21,699.5,707.8209566869588,0,2024-01-21
2024,1,22,706.9,702.2736522289862,0,2024-01-22
2024,1,23,706.97,705.3578840763288,0,2024-01-23
2024,1,24,710.81,706.432628025443,0,2024-01-24
2024,1,25,709.81,709.350876008481,0,2024-01-25
2024,1,26,705.73,709.6569586694936,0,2024-01-26
2024,1,27,702.07,707.0389862231646,0,2024-01-27
2024,1,28,706.32,703.7263287410548,0,2024-01-28
2024,1,29,704.34,705.455442913685,0,2024-01-29
2024,1,30,704.55,704.7118143045617,0,2024-01-30
2024,1,31,705.41,704.6039381015206,0,2024-01-31
2024,2,1,695.53,705.1413127005068,0,2024-02-01
2024,2,2,699.0,698.7337709001689,0,2024-02-02
2024,2,3,699.1,698.911256966723,0,2024-02-03
2024,2,4,694.8,699.0370856555743,0,2024-02-04
2024,2,5,686.39,696.2123618851914,0,2024-02-05
2024,2,6,697.16,689.6641206283971,0,2024-02-06
2024,2,7,698.28,694.6613735427991,0,2024-02-07
2024,2,8,697.26,697.073791180933,0,2024-02-08
2024,2,9,697.93,697.1979303936442,0,2024-02-09
2024,2,10,696.37,697.6859767978814,0,2024-02-10
2024,2,11,693.27,696.8086589326272,0,2024-02-11
2024,2,12,700.69,694.4495529775423,0,2024-02-12
2024,2,13,688.95,698.6098509925141,0,2024-02-13
2024,2,14,702.16,692.1699503308381,0,2024-02-14
2024,2,15,696.63,698.8299834436126,0,2024-02-15
2024,2,16,696.93,697.3633278145376,0,2024-02-16
2024,2,17,695.23,697.0744426048459,0,2024-02-17
2024,2,18,688.48,695.8448142016153,0,2024-02-18
2024,2,19,671.65,690.9349380672052,0,2024-02-19
2024,2,20,674.46,678.0783126890684,0,2024-02-20
2024,2,21,680.23,675.6661042296895,0,2024-02-21
2024,2,22,689.69,678.7087014098965,0,2024-02-22
2024,2,23,691.35,686.0295671366322,0,2024-02-23
2024,2,24,690.7,689.5765223788775,0,2024-02-24
2024,2,25,689.08,690.3255074596259,0,2024-02-25
2024,2,26,688.81,689.4951691532087,0,2024-02-26
2024,2,27,684.91,689.0383897177362,0,2024-02-27
2024,2,28,688.7,686.2861299059119,0,2024-02-28
2024,2,29,686.85,687.8953766353039,0,2024-02-29
2024,3,1,687.33,687.1984588784347,0,2024-03-01
2024,3,2,656.7,687.2861529594783,0,2024-03-02
2024,3,3,634.68,666.8953843198261,0,2024-03-03
2024,3,4,656.2,645.418461439942,0,2024-03-04
2024,3,5,668.02,652.606153813314,0,2024-03-05
2024,3,6,675.84,662.8820512711046,0,2024-03-06
2024,3,7,681.43,671.5206837570349,0,2024-03-07
2024,3,8,685.48,678.1268945856783,0,2024-03-08
2024,3,9,676.25,683.0289648618927,0,2024-03-09
2024,3,10,681.07,678.5096549539643,0,2024-03-10
2024,3,11,682.03,680.2165516513214,0,2024-03-11
2024,3,12,687.79,681.4255172171071,0,2024-03-12
2024,3,13,684.03,685.6685057390356,0,2024-03-13
2024,3,14,685.85,684.5761685796784,0,2024-03-14
2024,3,15,686.19,685.4253895265596,0,2024-03-15
2024,3,16,689.83,685.9351298421866,0,2024-03-16
2024,3,17,684.8,688.5317099473956,0,2024-03-17
2024,3,18,686.8,686.0439033157985,0,2024-03-18
2024,3,19,685.46,686.5479677719328,0,2024-03-19
2024,3,20,690.71,685.8226559239775,0,2024-03-20
2024,3,21,689.17,689.0808853079925,0,2024-03-21
2024,3,22,688.15,689.1402951026643,0,2024-03-22
2024,3,23,680.18,688.4800983675547,0,2024-03-23
2024,3,24,665.3,682.9466994558516,0,2024-03-24
2024,3,25,660.15,671.1822331519505,0,2024-03-25
2024,3,26,655.3,663.8274110506501,0,2024-03-26
2024,3,27,680.41,658.1424703502166,0,2024-03-27
2024,3,28,678.18,672.9874901167389,0,2024-03-28
2024,3,29,685.98,676.4491633722463,0,2024-03-29
2024,3,30,680.77,682.8030544574154,0,2024-03-30
2024,3,31,673.95,681.4476848191384,0,2024-03-31
2024,4,1,672.0,676.4492282730462,0,2024-04-01
2024,4,2,678.91,673.4830760910154,0,2024-04-02
2024,4,3,687.84,677.1010253636717,0,2024-04-03
2024,4,4,698.07,684.2603417878905,0,2024-04-04
2024,4,5,696.8,693.4667805959635,0,2024-04-05
2024,4,6,697.49,695.6889268653212,0,2024-04-06
2024,4,7,687.65,696.8896422884404,0,2024-04-07
2024,4,8,693.95,690.7298807628134,0,2024-04-08
2024,4,9,692.83,692.8766269209378,0,2024-04-09
2024,4,10,688.8,692.8455423069794,0,2024-04-10
2024,4,11,687.72,690.1485141023264,0,2024-04-11
2024,4,12,693.76,688.5295047007754,0,2024-04-12
2024,4,13,689.45,692.0165015669251,0,2024-04-13
2024,4,14,676.21,690.3055005223083,0,2024-04-14
2024,4,15,675.06,680.9085001741028,0,2024-04-15
2024,4,16,665.59,677.0095000580342,0,2024-04-16
2024,4,17,663.06,669.3965000193448,0,2024-04-17
2024,4,18,665.35,665.1721666731149,0,2024-04-18
2024,4,19,662.84,665.2907222243716,0,2024-04-19
2024,4,20,661.2,663.6569074081239,0,2024-04-20
2024,4,21,663.75,662.0189691360414,0,2024-04-21
2024,4,22,667.06,663.1729897120139,0,2024-04-22
2024,4,23,664.54,665.7643299040046,0,2024-04-23
2024,4,24,665.36,664.9481099680015,0,2024-04-24
2024,4,25,664.92,665.2227033226671,0,2024-04-25
2024,4,26,667.48,665.0209011075557,0,2024-04-26
2024,4,27,662.75,666.6603003691853,0,2024-04-27
2024,4,28,658.55,664.053433456395,0,2024-04-28
2024,4,29,664.96,660.3844778187982,0,2024-04-29
2024,4,30,657.29,663.4348259395994,0,2024-04-30
