year,month,day,carbon_intensity,hour,date,4_day_forecast
2021,7,2,235.84,0,2021-07-02,253.6424798595073
2021,7,3,260.27,0,2021-07-03,253.6424798595073
2021,7,4,227.69,0,2021-07-04,253.6424798595073
2021,7,5,182.25,0,2021-07-05,253.6424798595073
2021,7,3,260.27,0,2021-07-03,241.77415995316903
2021,7,4,227.69,0,2021-07-04,241.77415995316903
2021,7,5,182.25,0,2021-07-05,241.77415995316903
2021,7,6,207.19,0,2021-07-06,241.77415995316903
2021,7,4,227.69,0,2021-07-04,254.10471998438967
2021,7,5,182.25,0,2021-07-05,254.10471998438967
2021,7,6,207.19,0,2021-07-06,254.10471998438967
2021,7,7,216.47,0,2021-07-07,254.10471998438967
2021,7,5,182.25,0,2021-07-05,236.49490666146323
2021,7,6,207.19,0,2021-07-06,236.49490666146323
2021,7,7,216.47,0,2021-07-07,236.49490666146323
2021,7,8,249.15,0,2021-07-08,236.49490666146323
2021,7,6,207.19,0,2021-07-06,200.3316355538211
2021,7,7,216.47,0,2021-07-07,200.3316355538211
2021,7,8,249.15,0,2021-07-08,200.3316355538211
2021,7,9,290.31,0,2021-07-09,200.3316355538211
2021,7,7,216.47,0,2021-07-07,204.9038785179404
2021,7,8,249.15,0,2021-07-08,204.9038785179404
2021,7,9,290.31,0,2021-07-09,204.9038785179404
2021,7,10,299.19,0,2021-07-10,204.9038785179404
2021,7,8,249.15,0,2021-07-08,212.6146261726468
2021,7,9,290.31,0,2021-07-09,212.6146261726468
2021,7,10,299.19,0,2021-07-10,212.6146261726468
2021,7,11,272.22,0,2021-07-11,212.6146261726468
2021,7,9,290.31,0,2021-07-09,236.97154205754893
2021,7,10,299.19,0,2021-07-10,236.97154205754893
2021,7,11,272.22,0,2021-07-11,236.97154205754893
2021,7,12,258.19,0,2021-07-12,236.97154205754893
2021,7,10,299.19,0,2021-07-10,272.530514019183
2021,7,11,272.22,0,2021-07-11,272.530514019183
2021,7,12,258.19,0,2021-07-12,272.530514019183
2021,7,13,268.06,0,2021-07-13,272.530514019183
2021,7,11,272.22,0,2021-07-11,290.303504673061
2021,7,12,258.19,0,2021-07-12,290.303504673061
2021,7,13,268.06,0,2021-07-13,290.303504673061
2021,7,14,256.04,0,2021-07-14,290.303504673061
2021,7,12,258.19,0,2021-07-12,278.2478348910204
2021,7,13,268.06,0,2021-07-13,278.2478348910204
2021,7,14,256.04,0,2021-07-14,278.2478348910204
2021,7,15,260.62,0,2021-07-15,278.2478348910204
2021,7,13,268.06,0,2021-07-13,264.8759449636735
2021,7,14,256.04,0,2021-07-14,264.8759449636735
2021,7,15,260.62,0,2021-07-15,264.8759449636735
2021,7,16,235.68,0,2021-07-16,264.8759449636735
2021,7,14,256.04,0,2021-07-14,266.9986483212245
2021,7,15,260.62,0,2021-07-15,266.9986483212245
2021,7,16,235.68,0,2021-07-16,266.9986483212245
2021,7,17,245.81,0,2021-07-17,266.9986483212245
2021,7,15,260.62,0,2021-07-15,259.6928827737416
2021,7,16,235.68,0,2021-07-16,259.6928827737416
2021,7,17,245.81,0,2021-07-17,259.6928827737416
2021,7,18,274.29,0,2021-07-18,259.6928827737416
2021,7,16,235.68,0,2021-07-16,260.3109609245805
2021,7,17,245.81,0,2021-07-17,260.3109609245805
2021,7,18,274.29,0,2021-07-18,260.3109609245805
2021,7,19,307.17,0,2021-07-19,260.3109609245805
2021,7,17,245.81,0,2021-07-17,243.8903203081935
2021,7,18,274.29,0,2021-07-18,243.8903203081935
2021,7,19,307.17,0,2021-07-19,243.8903203081935
2021,7,20,286.49,0,2021-07-20,243.8903203081935
2021,7,18,274.29,0,2021-07-18,245.17010676939785
2021,7,19,307.17,0,2021-07-19,245.17010676939785
2021,7,20,286.49,0,2021-07-20,245.17010676939785
2021,7,21,269.35,0,2021-07-21,245.17010676939785
2021,7,19,307.17,0,2021-07-19,264.58336892313264
2021,7,20,286.49,0,2021-07-20,264.58336892313264
2021,7,21,269.35,0,2021-07-21,264.58336892313264
2021,7,22,282.36,0,2021-07-22,264.58336892313264
2021,7,20,286.49,0,2021-07-20,292.9744563077109
2021,7,21,269.35,0,2021-07-21,292.9744563077109
2021,7,22,282.36,0,2021-07-22,292.9744563077109
2021,7,23,288.39,0,2021-07-23,292.9744563077109
2021,7,21,269.35,0,2021-07-21,288.6514854359036
2021,7,22,282.36,0,2021-07-22,288.6514854359036
2021,7,23,288.39,0,2021-07-23,288.6514854359036
2021,7,24,261.48,0,2021-07-24,288.6514854359036
2021,7,22,282.36,0,2021-07-22,275.7838284786346
2021,7,23,288.39,0,2021-07-23,275.7838284786346
2021,7,24,261.48,0,2021-07-24,275.7838284786346
2021,7,25,281.41,0,2021-07-25,275.7838284786346
2021,7,23,288.39,0,2021-07-23,280.1679428262116
2021,7,24,261.48,0,2021-07-24,280.1679428262116
2021,7,25,281.41,0,2021-07-25,280.1679428262116
2021,7,26,265.4,0,2021-07-26,280.1679428262116
2021,7,24,261.48,0,2021-07-24,285.64931427540387
2021,7,25,281.41,0,2021-07-25,285.64931427540387
2021,7,26,265.4,0,2021-07-26,285.64931427540387
2021,7,27,305.5,0,2021-07-27,285.64931427540387
2021,7,25,281.41,0,2021-07-25,269.5364380918013
2021,7,26,265.4,0,2021-07-26,269.5364380918013
2021,7,27,305.5,0,2021-07-27,269.5364380918013
2021,7,28,288.12,0,2021-07-28,269.5364380918013
2021,7,26,265.4,0,2021-07-26,277.45214603060043
2021,7,27,305.5,0,2021-07-27,277.45214603060043
2021,7,28,288.12,0,2021-07-28,277.45214603060043
2021,7,29,305.1,0,2021-07-29,277.45214603060043
2021,7,27,305.5,0,2021-07-27,269.41738201020013
2021,7,28,288.12,0,2021-07-28,269.41738201020013
2021,7,29,305.1,0,2021-07-29,269.41738201020013
2021,7,30,306.69,0,2021-07-30,269.41738201020013
2021,7,28,288.12,0,2021-07-28,293.4724606700667
2021,7,29,305.1,0,2021-07-29,293.4724606700667
2021,7,30,306.69,0,2021-07-30,293.4724606700667
2021,7,31,327.26,0,2021-07-31,293.4724606700667
2021,7,29,305.1,0,2021-07-29,289.9041535566889
2021,7,30,306.69,0,2021-07-30,289.9041535566889
2021,7,31,327.26,0,2021-07-31,289.9041535566889
2021,8,1,263.45,0,2021-08-01,289.9041535566889
2021,7,30,306.69,0,2021-07-30,300.0347178522297
2021,7,31,327.26,0,2021-07-31,300.0347178522297
2021,8,1,263.45,0,2021-08-01,300.0347178522297
2021,8,2,244.06,0,2021-08-02,300.0347178522297
2021,7,31,327.26,0,2021-07-31,304.4715726174099
2021,8,1,263.45,0,2021-08-01,304.4715726174099
2021,8,2,244.06,0,2021-08-02,304.4715726174099
2021,8,3,282.1,0,2021-08-03,304.4715726174099
2021,8,1,263.45,0,2021-08-01,319.66385753913664
2021,8,2,244.06,0,2021-08-02,319.66385753913664
2021,8,3,282.1,0,2021-08-03,319.66385753913664
2021,8,4,293.52,0,2021-08-04,319.66385753913664
2021,8,2,244.06,0,2021-08-02,282.1879525130456
2021,8,3,282.1,0,2021-08-03,282.1879525130456
2021,8,4,293.52,0,2021-08-04,282.1879525130456
2021,8,5,292.98,0,2021-08-05,282.1879525130456
2021,8,3,282.1,0,2021-08-03,256.7693175043485
2021,8,4,293.52,0,2021-08-04,256.7693175043485
2021,8,5,292.98,0,2021-08-05,256.7693175043485
2021,8,6,241.62,0,2021-08-06,256.7693175043485
2021,8,4,293.52,0,2021-08-04,273.6564391681161
2021,8,5,292.98,0,2021-08-05,273.6564391681161
2021,8,6,241.62,0,2021-08-06,273.6564391681161
2021,8,7,222.16,0,2021-08-07,273.6564391681161
2021,8,5,292.98,0,2021-08-05,286.8988130560387
2021,8,6,241.62,0,2021-08-06,286.8988130560387
2021,8,7,222.16,0,2021-08-07,286.8988130560387
2021,8,8,249.19,0,2021-08-08,286.8988130560387
2021,8,6,241.62,0,2021-08-06,290.9529376853463
2021,8,7,222.16,0,2021-08-07,290.9529376853463
2021,8,8,249.19,0,2021-08-08,290.9529376853463
2021,8,9,218.54,0,2021-08-09,290.9529376853463
2021,8,7,222.16,0,2021-08-07,258.0643125617821
2021,8,8,249.19,0,2021-08-08,258.0643125617821
2021,8,9,218.54,0,2021-08-09,258.0643125617821
2021,8,10,270.08,0,2021-08-10,258.0643125617821
2021,8,8,249.19,0,2021-08-08,234.12810418726067
2021,8,9,218.54,0,2021-08-09,234.12810418726067
2021,8,10,270.08,0,2021-08-10,234.12810418726067
2021,8,11,288.99,0,2021-08-11,234.12810418726067
2021,8,9,218.54,0,2021-08-09,244.1693680624202
2021,8,10,270.08,0,2021-08-10,244.1693680624202
2021,8,11,288.99,0,2021-08-11,244.1693680624202
2021,8,12,311.33,0,2021-08-12,244.1693680624202
2021,8,10,270.08,0,2021-08-10,227.0831226874734
2021,8,11,288.99,0,2021-08-11,227.0831226874734
2021,8,12,311.33,0,2021-08-12,227.0831226874734
2021,8,13,278.08,0,2021-08-13,227.0831226874734
2021,8,11,288.99,0,2021-08-11,255.74770756249112
2021,8,12,311.33,0,2021-08-12,255.74770756249112
2021,8,13,278.08,0,2021-08-13,255.74770756249112
2021,8,14,259.73,0,2021-08-14,255.74770756249112
2021,8,12,311.33,0,2021-08-12,277.9092358541637
2021,8,13,278.08,0,2021-08-13,277.9092358541637
2021,8,14,259.73,0,2021-08-14,277.9092358541637
2021,8,15,263.03,0,2021-08-15,277.9092358541637
2021,8,13,278.08,0,2021-08-13,300.18974528472125
2021,8,14,259.73,0,2021-08-14,300.18974528472125
2021,8,15,263.03,0,2021-08-15,300.18974528472125
2021,8,16,278.75,0,2021-08-16,300.18974528472125
2021,8,14,259.73,0,2021-08-14,285.44991509490706
2021,8,15,263.03,0,2021-08-15,285.44991509490706
2021,8,16,278.75,0,2021-08-16,285.44991509490706
2021,8,17,278.69,0,2021-08-17,285.44991509490706
2021,8,15,263.03,0,2021-08-15,268.3033050316357
2021,8,16,278.75,0,2021-08-16,268.3033050316357
2021,8,17,278.69,0,2021-08-17,268.3033050316357
2021,8,18,213.61,0,2021-08-18,268.3033050316357
2021,8,16,278.75,0,2021-08-16,264.7877683438785
2021,8,17,278.69,0,2021-08-17,264.7877683438785
2021,8,18,213.61,0,2021-08-18,264.7877683438785
2021,8,19,216.25,0,2021-08-19,264.7877683438785
2021,8,17,278.69,0,2021-08-17,274.0959227812928
2021,8,18,213.61,0,2021-08-18,274.0959227812928
2021,8,19,216.25,0,2021-08-19,274.0959227812928
2021,8,20,220.24,0,2021-08-20,274.0959227812928
2021,8,18,213.61,0,2021-08-18,277.1586409270976
2021,8,19,216.25,0,2021-08-19,277.1586409270976
2021,8,20,220.24,0,2021-08-20,277.1586409270976
2021,8,21,216.86,0,2021-08-21,277.1586409270976
2021,8,19,216.25,0,2021-08-19,234.7928803090325
2021,8,20,220.24,0,2021-08-20,234.7928803090325
2021,8,21,216.86,0,2021-08-21,234.7928803090325
2021,8,22,164.19,0,2021-08-22,234.7928803090325
2021,8,20,220.24,0,2021-08-20,222.43096010301085
2021,8,21,216.86,0,2021-08-21,222.43096010301085
2021,8,22,164.19,0,2021-08-22,222.43096010301085
2021,8,23,188.06,0,2021-08-23,222.43096010301085
2021,8,21,216.86,0,2021-08-21,220.97032003433696
2021,8,22,164.19,0,2021-08-22,220.97032003433696
2021,8,23,188.06,0,2021-08-23,220.97032003433696
2021,8,24,210.52,0,2021-08-24,220.97032003433696
2021,8,22,164.19,0,2021-08-22,218.23010667811232
2021,8,23,188.06,0,2021-08-23,218.23010667811232
2021,8,24,210.52,0,2021-08-24,218.23010667811232
2021,8,25,233.47,0,2021-08-25,218.23010667811232
2021,8,23,188.06,0,2021-08-23,182.2033688927041
2021,8,24,210.52,0,2021-08-24,182.2033688927041
2021,8,25,233.47,0,2021-08-25,182.2033688927041
2021,8,26,241.12,0,2021-08-26,182.2033688927041
2021,8,24,210.52,0,2021-08-24,186.10778963090135
2021,8,25,233.47,0,2021-08-25,186.10778963090135
2021,8,26,241.12,0,2021-08-26,186.10778963090135
2021,8,27,258.96,0,2021-08-27,186.10778963090135
2021,8,25,233.47,0,2021-08-25,202.38259654363375
2021,8,26,241.12,0,2021-08-26,202.38259654363375
2021,8,27,258.96,0,2021-08-27,202.38259654363375
2021,8,28,268.48,0,2021-08-28,202.38259654363375
2021,8,26,241.12,0,2021-08-26,223.10753218121127
2021,8,27,258.96,0,2021-08-27,223.10753218121127
2021,8,28,268.48,0,2021-08-28,223.10753218121127
2021,8,29,284.67,0,2021-08-29,223.10753218121127
2021,8,27,258.96,0,2021-08-27,235.11584406040376
2021,8,28,268.48,0,2021-08-28,235.11584406040376
2021,8,29,284.67,0,2021-08-29,235.11584406040376
2021,8,30,274.52,0,2021-08-30,235.11584406040376
2021,8,28,268.48,0,2021-08-28,251.01194802013455
2021,8,29,284.67,0,2021-08-29,251.01194802013455
2021,8,30,274.52,0,2021-08-30,251.01194802013455
2021,8,31,272.22,0,2021-08-31,251.01194802013455
2021,8,29,284.67,0,2021-08-29,262.65731600671154
2021,8,30,274.52,0,2021-08-30,262.65731600671154
2021,8,31,272.22,0,2021-08-31,262.65731600671154
2021,9,1,258.11,0,2021-09-01,262.65731600671154
2021,8,30,274.52,0,2021-08-30,277.3324386689039
2021,8,31,272.22,0,2021-08-31,277.3324386689039
2021,9,1,258.11,0,2021-09-01,277.3324386689039
2021,9,2,175.17,0,2021-09-02,277.3324386689039
2021,8,31,272.22,0,2021-08-31,275.4574795563013
2021,9,1,258.11,0,2021-09-01,275.4574795563013
2021,9,2,175.17,0,2021-09-02,275.4574795563013
2021,9,3,197.14,0,2021-09-03,275.4574795563013
2021,9,1,258.11,0,2021-09-01,273.29915985210044
2021,9,2,175.17,0,2021-09-02,273.29915985210044
2021,9,3,197.14,0,2021-09-03,273.29915985210044
2021,9,4,228.96,0,2021-09-04,273.29915985210044
2021,9,2,175.17,0,2021-09-02,263.1730532840336
2021,9,3,197.14,0,2021-09-03,263.1730532840336
2021,9,4,228.96,0,2021-09-04,263.1730532840336
2021,9,5,248.23,0,2021-09-05,263.1730532840336
2021,9,3,197.14,0,2021-09-03,204.50435109467784
2021,9,4,228.96,0,2021-09-04,204.50435109467784
2021,9,5,248.23,0,2021-09-05,204.50435109467784
