year,month,day,carbon_intensity,prediction,hour,date
2021,7,2,207.43,195.35813657750575,0,2021-07-02
2021,7,3,148.69,203.40604552583525,0,2021-07-03
2021,7,4,162.31,166.92868184194506,0,2021-07-04
2021,7,5,150.27,163.84956061398168,0,2021-07-05
2021,7,6,141.05,154.79652020466057,0,2021-07-06
2021,7,7,193.16,145.63217340155353,0,2021-07-07
2021,7,8,177.73,177.31739113385117,0,2021-07-08
2021,7,9,190.79,177.5924637112837,0,2021-07-09
2021,7,10,180.54,186.39082123709454,0,2021-07-10
2021,7,11,175.21,182.49027374569815,0,2021-07-11
2021,7,12,137.02,177.63675791523272,0,2021-07-12
2021,7,13,135.48,150.55891930507758,0,2021-07-13
2021,7,14,145.72,140.50630643502586,0,2021-07-14
2021,7,15,128.47,143.9821021450086,0,2021-07-15
2021,7,16,122.42,133.64070071500285,0,2021-07-16
2021,7,17,142.82,126.16023357166762,0,2021-07-17
2021,7,18,143.5,137.2667445238892,0,2021-07-18
2021,7,19,156.83,141.42224817462974,0,2021-07-19
2021,7,20,215.45,151.69408272487658,0,2021-07-20
2021,7,21,233.86,194.19802757495884,0,2021-07-21
2021,7,22,209.92,220.6393425249863,0,2021-07-22
2021,7,23,197.19,213.4931141749954,0,2021-07-23
2021,7,24,180.41,202.62437139166514,0,2021-07-24
2021,7,25,186.96,187.81479046388836,0,2021-07-25
2021,7,26,168.01,187.2449301546295,0,2021-07-26
2021,7,27,240.88,174.4216433848765,0,2021-07-27
2021,7,28,155.78,218.7272144616255,0,2021-07-28
2021,7,29,167.42,176.76240482054183,0,2021-07-29
2021,7,30,166.49,170.5341349401806,0,2021-07-30
2021,7,31,138.34,167.8380449800602,0,2021-07-31
2021,8,1,142.51,148.17268166002006,0,2021-08-01
2021,8,2,192.0,144.39756055334,0,2021-08-02
2021,8,3,199.17,176.13252018444666,0,2021-08-03
2021,8,4,181.9,191.49084006148223,0,2021-08-04
2021,8,5,186.81,185.09694668716074,0,2021-08-05
2021,8,6,167.73,186.2389822290536,0,2021-08-06
2021,8,7,155.93,173.89966074301788,0,2021-08-07
2021,8,8,170.92,161.9198869143393,0,2021-08-08
2021,8,9,172.92,167.91996230477977,0,2021-08-09
2021,8,10,213.84,171.2533207682599,0,2021-08-10
2021,8,11,203.96,199.64444025608665,0,2021-08-11
2021,8,12,200.32,202.5214800853622,0,2021-08-12
2021,8,13,210.89,201.05382669512073,0,2021-08-13
2021,8,14,220.45,207.61127556504024,0,2021-08-14
2021,8,15,225.82,216.17042518834674,0,2021-08-15
2021,8,16,167.55,222.60347506278222,0,2021-08-16
2021,8,17,144.69,185.90115835426073,0,2021-08-17
2021,8,18,144.02,158.42705278475356,0,2021-08-18
2021,8,19,163.04,148.8223509282512,0,2021-08-19
2021,8,20,226.84,158.3007836427504,0,2021-08-20
2021,8,21,202.67,203.99359454758346,0,2021-08-21
2021,8,22,163.47,203.1111981825278,0,2021-08-22
2021,8,23,132.24,176.68373272750924,0,2021-08-23
2021,8,24,136.43,147.05457757583642,0,2021-08-24
2021,8,25,190.46,139.97152585861215,0,2021-08-25
2021,8,26,257.0,173.63050861953738,0,2021-08-26
2021,8,27,240.71,229.2101695398458,0,2021-08-27
2021,8,28,177.71,236.8767231799486,0,2021-08-28
2021,8,29,154.4,197.43224105998289,0,2021-08-29
2021,8,30,202.36,168.74408035332763,0,2021-08-30
2021,8,31,239.62,191.1546934511092,0,2021-08-31
2021,9,1,195.17,223.46489781703642,0,2021-09-01
2021,9,2,255.58,204.6016326056788,0,2021-09-02
2021,9,3,276.53,238.58721086855962,0,2021-09-03
2021,9,4,260.2,263.8824036228532,0,2021-09-04
2021,9,5,223.58,261.4274678742844,0,2021-09-05
2021,9,6,199.44,236.19582262476146,0,2021-09-06
2021,9,7,143.9,211.6919408749205,0,2021-09-07
2021,9,8,212.86,166.4973136249735,0,2021-09-08
2021,9,9,220.24,197.4057712083245,0,2021-09-09
2021,9,10,253.8,212.62859040277485,0,2021-09-10
2021,9,11,286.53,240.07619680092498,0,2021-09-11
2021,9,12,262.22,271.04539893364165,0,2021-09-12
2021,9,13,215.35,265.1617996445472,0,2021-09-13
2021,9,14,213.07,231.95393321484906,0,2021-09-14
2021,9,15,261.45,219.36464440494967,0,2021-09-15
2021,9,16,240.99,247.42154813498323,0,2021-09-16
2021,9,17,289.64,243.13384937832777,0,2021-09-17
2021,9,18,209.99,274.13794979277594,0,2021-09-18
2021,9,19,181.48,231.37264993092535,0,2021-09-19
