year,month,day,carbon_intensity,prediction,hour,date
2021,7,2,636.83,574.7137406092278,0,2021-07-02
2021,7,3,685.79,616.1245802030759,0,2021-07-03
2021,7,4,503.92,662.5681934010253,0,2021-07-04
2021,7,5,547.17,556.8027311336751,0,2021-07-05
2021,7,6,567.47,550.3809103778917,0,2021-07-06
2021,7,7,549.24,561.7736367926306,0,2021-07-07
2021,7,8,578.4,553.4178789308768,0,2021-07-08
2021,7,9,615.59,570.0726263102923,0,2021-07-09
2021,7,10,506.96,600.4175421034307,0,2021-07-10
2021,7,11,522.78,538.1125140344769,0,2021-07-11
2021,7,12,538.22,527.8908380114923,0,2021-07-12
2021,7,13,522.07,534.7769460038307,0,2021-07-13
2021,7,14,567.89,526.3056486679436,0,2021-07-14
2021,7,15,608.07,554.0285495559812,0,2021-07-15
2021,7,16,564.11,590.0561831853271,0,2021-07-16
2021,7,17,486.01,572.7587277284424,0,2021-07-17
2021,7,18,480.46,514.9262425761475,0,2021-07-18
2021,7,19,541.33,491.9487475253825,0,2021-07-19
2021,7,20,521.01,524.8695825084609,0,2021-07-20
2021,7,21,500.39,522.2965275028204,0,2021-07-21
2021,7,22,506.2,507.6921758342734,0,2021-07-22
2021,7,23,581.8,506.6973919447578,0,2021-07-23
2021,7,24,498.06,556.7657973149193,0,2021-07-24
2021,7,25,488.95,517.6285991049731,0,2021-07-25
2021,7,26,537.92,498.5095330349911,0,2021-07-26
2021,7,27,522.27,524.7831776783304,0,2021-07-27
2021,7,28,522.5,523.1077258927768,0,2021-07-28
2021,7,29,548.58,522.7025752975923,0,2021-07-29
2021,7,30,507.6,539.954191765864,0,2021-07-30
2021,7,31,530.45,518.3847305886214,0,2021-07-31
2021,8,1,523.88,526.4282435295405,0,2021-08-01
2021,8,2,544.01,524.7294145098468,0,2021-08-02
2021,8,3,589.07,537.5831381699489,0,2021-08-03
2021,8,4,476.63,571.9077127233163,0,2021-08-04
2021,8,5,467.55,508.38923757443877,0,2021-08-05
2021,8,6,504.68,481.16307919147965,0,2021-08-06
2021,8,7,535.85,496.84102639715985,0,2021-08-07
2021,8,8,499.73,522.8470087990532,0,2021-08-08
2021,8,9,571.5,507.4356695996844,0,2021-08-09
2021,8,10,528.61,550.1452231998948,0,2021-08-10
2021,8,11,540.26,535.7884077332983,0,2021-08-11
2021,8,12,511.23,538.7694692444328,0,2021-08-12
2021,8,13,499.97,520.4098230814776,0,2021-08-13
2021,8,14,523.55,506.7832743604925,0,2021-08-14
2021,8,15,521.05,517.9610914534975,0,2021-08-15
2021,8,16,494.75,520.0203638178324,0,2021-08-16
2021,8,17,478.76,503.1734546059441,0,2021-08-17
2021,8,18,532.41,486.89781820198135,0,2021-08-18
2021,8,19,513.73,517.2392727339937,0,2021-08-19
2021,8,20,510.6,514.899757577998,0,2021-08-20
2021,8,21,501.83,512.0332525259993,0,2021-08-21
2021,8,22,487.48,505.2310841753331,0,2021-08-22
2021,8,23,470.0,493.3970280584444,0,2021-08-23
2021,8,24,563.98,477.79900935281483,0,2021-08-24
2021,8,25,486.68,535.253003117605,0,2021-08-25
2021,8,26,500.79,502.87100103920164,0,2021-08-26
2021,8,27,478.84,501.4836670130672,0,2021-08-27
2021,8,28,501.48,486.3878890043557,0,2021-08-28
2021,8,29,569.2,496.44929633478523,0,2021-08-29
2021,8,30,470.72,544.9497654449284,0,2021-08-30
2021,8,31,613.94,495.46325514830943,0,2021-08-31
2021,9,1,490.52,574.4477517161032,0,2021-09-01
2021,9,2,502.04,518.495917238701,0,2021-09-02
2021,9,3,524.25,507.5253057462337,0,2021-09-03
2021,9,4,491.0,518.6751019154112,0,2021-09-04
2021,9,5,507.7,500.2250339718037,0,2021-09-05
2021,9,6,455.95,505.2083446572679,0,2021-09-06
