year,month,day,Carbon intensity gCO₂eq/kWh (Life cycle),hour,date,4_day_forecast
2023,10,21,684.47,0,2023-10-21,683.7901297488487
2023,10,22,692.21,0,2023-10-22,683.7901297488487
2023,10,23,691.63,0,2023-10-23,683.7901297488487
2023,10,24,689.9,0,2023-10-24,683.7901297488487
2023,10,22,692.21,0,2023-10-22,684.2433765829496
2023,10,23,691.63,0,2023-10-23,684.2433765829496
2023,10,24,689.9,0,2023-10-24,684.2433765829496
2023,10,25,682.87,0,2023-10-25,684.2433765829496
2023,10,23,691.63,0,2023-10-23,689.5544588609832
2023,10,24,689.9,0,2023-10-24,689.5544588609832
2023,10,25,682.87,0,2023-10-25,689.5544588609832
2023,10,26,672.68,0,2023-10-26,689.5544588609832
2023,10,24,689.9,0,2023-10-24,690.938152953661
2023,10,25,682.87,0,2023-10-25,690.938152953661
2023,10,26,672.68,0,2023-10-26,690.938152953661
2023,10,27,668.18,0,2023-10-27,690.938152953661
2023,10,25,682.87,0,2023-10-25,690.2460509845537
2023,10,26,672.68,0,2023-10-26,690.2460509845537
2023,10,27,668.18,0,2023-10-27,690.2460509845537
2023,10,28,679.75,0,2023-10-28,690.2460509845537
2023,10,26,672.68,0,2023-10-26,685.328683661518
2023,10,27,668.18,0,2023-10-27,685.328683661518
2023,10,28,679.75,0,2023-10-28,685.328683661518
2023,10,29,682.11,0,2023-10-29,685.328683661518
2023,10,27,668.18,0,2023-10-27,676.8962278871726
2023,10,28,679.75,0,2023-10-28,676.8962278871726
2023,10,29,682.11,0,2023-10-29,676.8962278871726
2023,10,30,668.96,0,2023-10-30,676.8962278871726
2023,10,28,679.75,0,2023-10-28,671.0854092957242
2023,10,29,682.11,0,2023-10-29,671.0854092957242
2023,10,30,668.96,0,2023-10-30,671.0854092957242
2023,10,31,664.76,0,2023-10-31,671.0854092957242
2023,10,29,682.11,0,2023-10-29,676.8618030985748
2023,10,30,668.96,0,2023-10-30,676.8618030985748
2023,10,31,664.76,0,2023-10-31,676.8618030985748
2023,11,1,678.45,0,2023-11-01,676.8618030985748
2023,10,30,668.96,0,2023-10-30,680.3606010328582
2023,10,31,664.76,0,2023-10-31,680.3606010328582
2023,11,1,678.45,0,2023-11-01,680.3606010328582
2023,11,2,673.99,0,2023-11-02,680.3606010328582
2023,10,31,664.76,0,2023-10-31,672.7602003442861
2023,11,1,678.45,0,2023-11-01,672.7602003442861
2023,11,2,673.99,0,2023-11-02,672.7602003442861
2023,11,3,674.32,0,2023-11-03,672.7602003442861
2023,11,1,678.45,0,2023-11-01,667.4267334480954
2023,11,2,673.99,0,2023-11-02,667.4267334480954
2023,11,3,674.32,0,2023-11-03,667.4267334480954
2023,11,4,676.48,0,2023-11-04,667.4267334480954
2023,11,2,673.99,0,2023-11-02,674.7755778160318
2023,11,3,674.32,0,2023-11-03,674.7755778160318
2023,11,4,676.48,0,2023-11-04,674.7755778160318
2023,11,5,670.79,0,2023-11-05,674.7755778160318
2023,11,3,674.32,0,2023-11-03,674.2518592720106
2023,11,4,676.48,0,2023-11-04,674.2518592720106
2023,11,5,670.79,0,2023-11-05,674.2518592720106
2023,11,6,667.71,0,2023-11-06,674.2518592720106
2023,11,4,676.48,0,2023-11-04,674.2972864240036
2023,11,5,670.79,0,2023-11-05,674.2972864240036
2023,11,6,667.71,0,2023-11-06,674.2972864240036
2023,11,7,664.51,0,2023-11-07,674.2972864240036
2023,11,5,670.79,0,2023-11-05,675.7524288080012
2023,11,6,667.71,0,2023-11-06,675.7524288080012
2023,11,7,664.51,0,2023-11-07,675.7524288080012
2023,11,8,672.79,0,2023-11-08,675.7524288080012
2023,11,6,667.71,0,2023-11-06,672.4441429360004
2023,11,7,664.51,0,2023-11-07,672.4441429360004
2023,11,8,672.79,0,2023-11-08,672.4441429360004
2023,11,9,669.02,0,2023-11-09,672.4441429360004
2023,11,7,664.51,0,2023-11-07,669.2880476453334
2023,11,8,672.79,0,2023-11-08,669.2880476453334
2023,11,9,669.02,0,2023-11-09,669.2880476453334
2023,11,10,667.54,0,2023-11-10,669.2880476453334
2023,11,8,672.79,0,2023-11-08,666.1026825484445
2023,11,9,669.02,0,2023-11-09,666.1026825484445
2023,11,10,667.54,0,2023-11-10,666.1026825484445
2023,11,11,632.45,0,2023-11-11,666.1026825484445
2023,11,9,669.02,0,2023-11-09,670.5608941828149
2023,11,10,667.54,0,2023-11-10,670.5608941828149
2023,11,11,632.45,0,2023-11-11,670.5608941828149
2023,11,12,619.39,0,2023-11-12,670.5608941828149
2023,11,10,667.54,0,2023-11-10,669.5336313942717
2023,11,11,632.45,0,2023-11-11,669.5336313942717
2023,11,12,619.39,0,2023-11-12,669.5336313942717
2023,11,13,599.72,0,2023-11-13,669.5336313942717
2023,11,11,632.45,0,2023-11-11,668.2045437980905
2023,11,12,619.39,0,2023-11-12,668.2045437980905
2023,11,13,599.72,0,2023-11-13,668.2045437980905
2023,11,14,644.49,0,2023-11-14,668.2045437980905
2023,11,12,619.39,0,2023-11-12,644.3681812660302
2023,11,13,599.72,0,2023-11-13,644.3681812660302
2023,11,14,644.49,0,2023-11-14,644.3681812660302
2023,11,15,662.65,0,2023-11-15,644.3681812660302
2023,11,13,599.72,0,2023-11-13,627.7160604220101
2023,11,14,644.49,0,2023-11-14,627.7160604220101
2023,11,15,662.65,0,2023-11-15,627.7160604220101
2023,11,16,657.69,0,2023-11-16,627.7160604220101
2023,11,14,644.49,0,2023-11-14,609.05202014067
2023,11,15,662.65,0,2023-11-15,609.05202014067
2023,11,16,657.69,0,2023-11-16,609.05202014067
2023,11,17,640.66,0,2023-11-17,609.05202014067
2023,11,15,662.65,0,2023-11-15,632.67734004689
2023,11,16,657.69,0,2023-11-16,632.67734004689
2023,11,17,640.66,0,2023-11-17,632.67734004689
2023,11,18,663.25,0,2023-11-18,632.67734004689
2023,11,16,657.69,0,2023-11-16,652.6591133489633
2023,11,17,640.66,0,2023-11-17,652.6591133489633
2023,11,18,663.25,0,2023-11-18,652.6591133489633
2023,11,19,652.66,0,2023-11-19,652.6591133489633
2023,11,17,640.66,0,2023-11-17,656.0130377829878
2023,11,18,663.25,0,2023-11-18,656.0130377829878
2023,11,19,652.66,0,2023-11-19,656.0130377829878
2023,11,20,647.35,0,2023-11-20,656.0130377829878
2023,11,18,663.25,0,2023-11-18,645.7776792609959
2023,11,19,652.66,0,2023-11-19,645.7776792609959
