year,month,day,carbon_intensity,prediction,hour,date
2021,7,2,33.27,33.72686336763392,0,2021-07-02
2021,7,3,34.92,33.42228778921131,0,2021-07-03
2021,7,4,33.72,34.42076259640377,0,2021-07-04
2021,7,5,35.47,33.953587532134584,0,2021-07-05
2021,7,6,35.92,34.96452917737819,0,2021-07-06
2021,7,7,34.8,35.60150972579273,0,2021-07-07
2021,7,8,33.12,35.06716990859758,0,2021-07-08
2021,7,9,35.54,33.76905663619919,0,2021-07-09
2021,7,10,34.74,34.949685545399724,0,2021-07-10
2021,7,11,32.99,34.80989518179991,0,2021-07-11
2021,7,12,34.4,33.59663172726664,0,2021-07-12
2021,7,13,36.19,34.13221057575554,0,2021-07-13
2021,7,14,37.03,35.504070191918515,0,2021-07-14
2021,7,15,35.03,36.5213567306395,0,2021-07-15
2021,7,16,34.47,35.52711891021317,0,2021-07-16
2021,7,17,35.51,34.82237297007106,0,2021-07-17
2021,7,18,33.31,35.28079099002368,0,2021-07-18
2021,7,19,32.92,33.9669303300079,0,2021-07-19
2021,7,20,32.09,33.2689767766693,0,2021-07-20
2021,7,21,33.89,32.482992258889766,0,2021-07-21
2021,7,22,34.57,33.42099741962992,0,2021-07-22
2021,7,23,33.71,34.18699913987664,0,2021-07-23
2021,7,24,35.46,33.86899971329222,0,2021-07-24
2021,7,25,35.93,34.92966657109741,0,2021-07-25
2021,7,26,36.01,35.59655552369913,0,2021-07-26
2021,7,27,37.22,35.872185174566376,0,2021-07-27
2021,7,28,37.57,36.77072839152212,0,2021-07-28
2021,7,29,36.81,37.30357613050737,0,2021-07-29
2021,7,30,34.65,36.97452537683579,0,2021-07-30
2021,7,31,34.6,35.42484179227859,0,2021-07-31
2021,8,1,34.53,34.87494726409287,0,2021-08-01
2021,8,2,33.24,34.64498242136429,0,2021-08-02
2021,8,3,33.25,33.708327473788096,0,2021-08-03
2021,8,4,34.15,33.402775824596034,0,2021-08-04
2021,8,5,36.86,33.900925274865344,0,2021-08-05
2021,8,6,34.19,35.87364175828845,0,2021-08-06
2021,8,7,35.19,34.75121391942948,0,2021-08-07
2021,8,8,34.38,35.04373797314316,0,2021-08-08
2021,8,9,37.15,34.601245991047726,0,2021-08-09
2021,8,10,33.54,36.30041533034924,0,2021-08-10
2021,8,11,35.25,34.46013844344974,0,2021-08-11
2021,8,12,34.27,34.98671281448325,0,2021-08-12
2021,8,13,34.17,34.50890427149442,0,2021-08-13
2021,8,14,34.93,34.282968090498144,0,2021-08-14
2021,8,15,33.75,34.71432269683272,0,2021-08-15
2021,8,16,34.49,34.07144089894424,0,2021-08-16
2021,8,17,36.31,34.350480299648076,0,2021-08-17
2021,8,18,31.56,35.65682676654936,0,2021-08-18
2021,8,19,35.4,32.92560892218312,0,2021-08-19
2021,8,20,33.66,34.575202974061035,0,2021-08-20
2021,8,21,33.79,33.96506765802034,0,2021-08-21
2021,8,22,36.25,33.84835588600678,0,2021-08-22
2021,8,23,36.11,35.44945196200226,0,2021-08-23
2021,8,24,38.67,35.88981732066742,0,2021-08-24
2021,8,25,29.69,37.743272440222476,0,2021-08-25
2021,8,26,30.13,32.37442414674083,0,2021-08-26
2021,8,27,33.94,30.87814138224694,0,2021-08-27
2021,8,28,35.13,32.919380460748975,0,2021-08-28
2021,8,29,35.22,34.393126820249655,0,2021-08-29
2021,8,30,34.55,34.94437560674988,0,2021-08-30
2021,8,31,33.16,34.68145853558329,0,2021-08-31
2021,9,1,32.28,33.66715284519443,0,2021-09-01
2021,9,2,33.77,32.74238428173148,0,2021-09-02
2021,9,3,31.03,33.42746142724383,0,2021-09-03
2021,9,4,33.33,31.829153809081276,0,2021-09-04
2021,9,5,36.28,32.829717936360424,0,2021-09-05
2021,9,6,36.32,35.12990597878681,0,2021-09-06
2021,9,7,36.11,35.923301992928934,0,2021-09-07
2021,9,8,32.41,36.04776733097631,0,2021-09-08
2021,9,9,35.84,33.622589110325436,0,2021-09-09
2021,9,10,35.69,35.100863036775145,0,2021-09-10
2021,9,11,35.58,35.49362101225838,0,2021-09-11
2021,9,12,36.52,35.55120700408613,0,2021-09-12
2021,9,13,33.96,36.197069001362046,0,2021-09-13
2021,9,14,39.51,34.70568966712068,0,2021-09-14
2021,9,15,42.24,37.90856322237356,0,2021-09-15
2021,9,16,38.19,40.79618774079119,0,2021-09-16
2021,9,17,39.41,39.0587292469304,0,2021-09-17
2021,9,18,37.82,39.2929097489768,0,2021-09-18
2021,9,19,40.1,38.3109699163256,0,2021-09-19
2021,9,20,40.07,39.5036566387752,0,2021-09-20
2021,9,21,40.33,39.881218879591735,0,2021-09-21
2021,9,22,39.65,40.180406293197244,0,2021-09-22
2021,9,23,38.51,39.82680209773241,0,2021-09-23
2021,9,24,35.35,38.94893403257747,0,2021-09-24
2021,9,25,35.36,36.549644677525826,0,2021-09-25
2021,9,26,39.18,35.75654822584195,0,2021-09-26
2021,9,27,35.35,38.03884940861398,0,2021-09-27
2021,9,28,32.77,36.24628313620466,0,2021-09-28
2021,9,29,35.67,33.92876104540156,0,2021-09-29
2021,9,30,35.89,35.08958701513385,0,2021-09-30
2021,10,1,34.92,35.62319567171128,0,2021-10-01
2021,10,2,31.63,35.154398557237094,0,2021-10-02
2021,10,3,32.6,32.80479951907903,0,2021-10-03
2021,10,4,28.79,32.66826650635968,0,2021-10-04
2021,10,5,33.56,30.08275550211989,0,2021-10-05
2021,10,6,34.17,32.40091850070663,0,2021-10-06
2021,10,7,37.87,33.58030616690221,0,2021-10-07
2021,10,8,36.72,36.44010205563407,0,2021-10-08
2021,10,9,35.48,36.626700685211354,0,2021-10-09
2021,10,10,33.42,35.86223356173712,0,2021-10-10
2021,10,11,35.16,34.234077853912375,0,2021-10-11
2021,10,12,37.52,34.851359284637454,0,2021-10-12
2021,10,13,38.28,36.63045309487915,0,2021-10-13
2021,10,14,39.43,37.730151031626384,0,2021-10-14
2021,10,15,32.37,38.863383677208795,0,2021-10-15
2021,10,16,29.82,34.534461225736266,0,2021-10-16
2021,10,17,31.01,31.391487075245422,0,2021-10-17
2021,10,18,34.19,31.13716235841514,0,2021-10-18
2021,10,19,41.0,33.17238745280505,0,2021-10-19
2021,10,20,32.4,38.390795817601685,0,2021-10-20
2021,10,21,33.12,34.39693193920056,0,2021-10-21
2021,10,22,31.16,33.54564397973352,0,2021-10-22
2021,10,23,32.21,31.955214659911174,0,2021-10-23
