year,month,day,carbon_intensity,prediction,hour,date
2021,7,2,331.87,366.4614389469077,0,2021-07-02
2021,7,3,293.71,343.4004796489692,0,2021-07-03
2021,7,4,269.35,310.27349321632306,0,2021-07-04
2021,7,5,284.96,282.991164405441,0,2021-07-05
2021,7,6,305.68,284.3037214684803,0,2021-07-06
2021,7,7,336.7,298.5545738228268,0,2021-07-07
2021,7,8,358.59,323.9848579409423,0,2021-07-08
2021,7,9,316.65,347.0549526469808,0,2021-07-09
2021,7,10,319.09,326.78498421566024,0,2021-07-10
2021,7,11,298.16,321.6549947385534,0,2021-07-11
2021,7,12,294.31,305.99166491285115,0,2021-07-12
2021,7,13,323.09,298.20388830428374,0,2021-07-13
2021,7,14,303.5,314.79462943476125,0,2021-07-14
2021,7,15,349.07,307.2648764782537,0,2021-07-15
2021,7,16,334.58,335.1349588260846,0,2021-07-16
2021,7,17,341.42,334.76498627536154,0,2021-07-17
2021,7,18,327.31,339.2016620917872,0,2021-07-18
2021,7,19,294.27,331.2738873639291,0,2021-07-19
2021,7,20,326.4,306.6046291213097,0,2021-07-20
2021,7,21,333.12,319.80154304043657,0,2021-07-21
2021,7,22,321.23,328.68051434681223,0,2021-07-22
2021,7,23,304.58,323.7135047822708,0,2021-07-23
2021,7,24,307.3,310.95783492742356,0,2021-07-24
2021,7,25,293.51,308.51927830914116,0,2021-07-25
2021,7,26,302.04,298.5130927697137,0,2021-07-26
2021,7,27,342.16,300.86436425657126,0,2021-07-27
2021,7,28,346.23,328.39478808552377,0,2021-07-28
2021,7,29,323.64,340.28492936184125,0,2021-07-29
2021,7,30,300.84,329.1883097872804,0,2021-07-30
2021,7,31,295.36,310.28943659576015,0,2021-07-31
2021,8,1,276.19,300.3364788652534,0,2021-08-01
2021,8,2,286.14,284.2388262884178,0,2021-08-02
2021,8,3,296.96,285.5062754294726,0,2021-08-03
2021,8,4,292.93,293.1420918098242,0,2021-08-04
2021,8,5,292.05,293.0006972699414,0,2021-08-05
2021,8,6,299.77,292.36689908998045,0,2021-08-06
2021,8,7,322.16,297.30229969666016,0,2021-08-07
2021,8,8,320.57,313.87409989888675,0,2021-08-08
2021,8,9,306.5,318.33803329962893,0,2021-08-09
2021,8,10,318.91,310.44601109987633,0,2021-08-10
2021,8,11,339.48,316.0886703666254,0,2021-08-11
2021,8,12,353.77,331.68289012220845,0,2021-08-12
2021,8,13,352.54,346.40763004073614,0,2021-08-13
2021,8,14,357.65,350.4958766802454,0,2021-08-14
2021,8,15,335.44,355.26529222674844,0,2021-08-15
2021,8,16,308.71,342.04843074224954,0,2021-08-16
2021,8,17,310.02,319.8228102474165,0,2021-08-17
2021,8,18,325.66,313.2876034158055,0,2021-08-18
2021,8,19,327.98,321.53586780526854,0,2021-08-19
2021,8,20,340.66,325.8319559350895,0,2021-08-20
2021,8,21,343.82,335.7173186450298,0,2021-08-21
2021,8,22,322.44,341.11910621500994,0,2021-08-22
2021,8,23,312.83,328.66636873833664,0,2021-08-23
2021,8,24,348.95,318.10878957944556,0,2021-08-24
2021,8,25,342.69,338.6695965264818,0,2021-08-25
2021,8,26,353.52,341.34986550882724,0,2021-08-26
2021,8,27,358.51,349.46328850294236,0,2021-08-27
2021,8,28,358.44,355.49442950098074,0,2021-08-28
2021,8,29,290.75,357.4581431669936,0,2021-08-29
2021,8,30,297.95,312.9860477223312,0,2021-08-30
2021,8,31,328.32,302.9620159074437,0,2021-08-31
2021,9,1,328.96,319.8673386358146,0,2021-09-01
2021,9,2,303.9,325.9291128786048,0,2021-09-02
2021,9,3,279.9,311.2430376262016,0,2021-09-03
2021,9,4,283.53,290.34767920873384,0,2021-09-04
2021,9,5,277.14,285.8025597362446,0,2021-09-05
2021,9,6,272.55,280.0275199120815,0,2021-09-06
2021,9,7,282.72,275.04250663736053,0,2021-09-07
2021,9,8,297.38,280.1608355457868,0,2021-09-08
2021,9,9,313.93,291.64027851526225,0,2021-09-09
2021,9,10,276.16,306.50009283842076,0,2021-09-10
2021,9,11,265.41,286.2733642794736,0,2021-09-11
2021,9,12,244.73,272.3644547598246,0,2021-09-12
2021,9,13,287.65,253.94148491994153,0,2021-09-13
2021,9,14,310.85,276.4138283066472,0,2021-09-14
2021,9,15,290.53,299.37127610221575,0,2021-09-15
2021,9,16,329.75,293.47709203407186,0,2021-09-16
2021,9,17,306.99,317.65903067802395,0,2021-09-17
2021,9,18,303.3,310.5463435593413,0,2021-09-18
2021,9,19,305.43,305.7154478531138,0,2021-09-19
2021,9,20,277.35,305.52514928437125,0,2021-09-20
2021,9,21,282.39,286.74171642812377,0,2021-09-21
2021,9,22,275.61,283.8405721427079,0,2021-09-22
2021,9,23,293.16,278.35352404756935,0,2021-09-23
2021,9,24,283.5,288.22450801585643,0,2021-09-24
2021,9,25,258.48,285.0748360052855,0,2021-09-25
2021,9,26,244.23,267.3449453350952,0,2021-09-26
2021,9,27,236.85,251.93498177836508,0,2021-09-27
2021,9,28,267.03,241.878327259455,0,2021-09-28
2021,9,29,273.53,258.64610908648496,0,2021-09-29
2021,9,30,264.25,268.56870302882834,0,2021-09-30
2021,10,1,265.01,265.6895676762761,0,2021-10-01
2021,10,2,259.8,265.2365225587587,0,2021-10-02
2021,10,3,252.43,261.6121741862529,0,2021-10-03
2021,10,4,291.65,255.49072472875096,0,2021-10-04
2021,10,5,422.28,279.596908242917,0,2021-10-05
2021,10,6,430.15,374.7189694143056,0,2021-10-06
2021,10,7,428.11,411.6729898047685,0,2021-10-07
2021,10,8,424.29,422.6309966015895,0,2021-10-08
2021,10,9,424.82,423.7369988671965,0,2021-10-09
2021,10,10,391.22,424.45899962239884,0,2021-10-10
2021,10,11,399.94,402.2996665407996,0,2021-10-11
2021,10,12,406.34,400.72655551359986,0,2021-10-12
2021,10,13,410.83,404.4688518378666,0,2021-10-13
2021,10,14,419.71,408.7096172792888,0,2021-10-14
2021,10,15,434.07,416.04320575976294,0,2021-10-15
2021,10,16,428.61,428.0610685865877,0,2021-10-16
2021,10,17,399.03,428.4270228621959,0,2021-10-17
2021,10,18,405.61,408.82900762073194,0,2021-10-18
2021,10,19,408.98,406.683002540244,0,2021-10-19
2021,10,20,391.99,408.2143341800813,0,2021-10-20
2021,10,21,395.18,397.39811139336047,0,2021-10-21
2021,10,22,395.81,395.9193704644535,0,2021-10-22
2021,10,23,407.43,395.8464568214845,0,2021-10-23
2021,10,24,405.45,403.56881894049485,0,2021-10-24
2021,10,25,261.38,404.8229396468316,0,2021-10-25
2021,10,26,275.14,309.1943132156105,0,2021-10-26
2021,10,27,270.24,286.49143773853683,0,2021-10-27
2021,10,28,275.23,275.65714591284564,0,2021-10-28
2021,10,29,254.59,275.37238197094854,0,2021-10-29
2021,10,30,255.63,261.51746065698285,0,2021-10-30
2021,10,31,250.37,257.59248688566095,0,2021-10-31
2021,11,1,241.42,252.77749562855365,0,2021-11-01
2021,11,2,260.14,245.20583187618453,0,2021-11-02
2021,11,3,267.47,255.1619439587282,0,2021-11-03
2021,11,4,293.59,263.36731465290944,0,2021-11-04
2021,11,5,283.13,283.51577155096976,0,2021-11-05
2021,11,6,275.56,283.2585905169899,0,2021-11-06
2021,11,7,247.61,278.12619683899663,0,2021-11-07
2021,11,8,247.29,257.7820656129989,0,2021-11-08
2021,11,9,243.72,250.78735520433295,0,2021-11-09
2021,11,10,266.53,246.075785068111,0,2021-11-10
2021,11,11,264.27,259.711928356037,0,2021-11-11
2021,11,12,250.38,262.75064278534563,0,2021-11-12
2021,11,13,252.44,254.50354759511524,0,2021-11-13
2021,11,14,249.24,253.12784919837176,0,2021-11-14
2021,11,15,269.01,250.5359497327906,0,2021-11-15
2021,11,16,268.19,262.8519832442635,0,2021-11-16
2021,11,17,274.28,266.4106610814212,0,2021-11-17
2021,11,18,267.25,271.6568870271404,0,2021-11-18
